"selection1_name","selection1_selection2"
"A_326069","很棒的甜品，老顾客了，会经常转"
"蓝泡泡211","超级喜欢他家的甜点，而且每次都有很多的试吃。里面的服务员都好帅好帅～还很喜欢他家的酸奶，味道好极了～..."
"馥荼荼","地址：金源购物中心一层北面挨着星巴克 肯德基 还有原麦山丘 方向对了就好找了 [服务]十二当天口碑..."
"长颈鹿的彩虹糖_","买了肉松卷当早餐?? 味道很不错，酱很多面包体很软，和酱搭配在一起很润～可是emmmmm只有两边有肉..."
"点评用户","这的服务真的超级棒。试吃了好多蛋糕。都不好意思了。棒棒的。双巧克力慕斯蛋糕。试吃的时候超级好吃。买了..."
"丹宝儿…","月饼节都没有吃到月饼，后来总算是吃到了。哈哈哈哈开心[愉快]还长这么红这么粉嫩，好喜欢。好利来的东西..."
"爱吃1983","阜成门的这家店，东西齐全，店员都是美女帅哥，服务态度也超级好"
"纸片人mua","试吃好大方，几乎每种蛋糕都有试吃～服务员颜值都很高，而且态度很好，很卖力的推荐，因为买的少，没要纸袋..."
"xiaoyu5242","好利来越做越好了，基本每个礼拜都要来一次，蛋挞馅料很足，蛋挞皮很酥脆，在这吃，贴心的给了手套，小熊蛋..."
"臨滄薩蘭","居然有家如此近的好利來，對於喜歡她家的食物的人來說，確實是幸運的！ 喜歡它家的糕點，尤其是一些小點..."
"cjhouse","我前两天过生日老公给买的，一看盒子就知道是好利来的，打开一看好可爱啊，七个小矮人，还有漂亮的房子，创..."
"mm_锅","收费合理，品种多，健康美味！！"
"金森爷","挺不错的一家店，就是服务员就一个，有点忙不过来~面包挺好吃，喝了杯红茶拿铁~"
"大鹅是鸡","妹妹送的生日礼物，味道非常好，配送师傅特别有礼貌。"
"该不该说实话","挺好的 面包挺好吃的 有一位服务员比较没耐心 但别的都很好"
"忧郁系的萌妹子","#半熟芝士挞#真的是很好吃，当然也很长肉… 咬一口在嘴里，芝士入口即化，甜而不腻，个也挺大的，货真价..."
"pipi51245","北京好利来不是太多,点评搜了一下，离三元桥最近的就是这里了，距离2公里左右，交通不是很方便，决定步行..."
"亚瑟妞妞","服务很好，觉得服务员好多啊，新出的红豆也不错，一直喜欢，家门口又开了一家，更方便了，就是蛋糕普通的口..."
"肉蛋蛋蛋丶","好吃 每次来金鼎轩都会来这家好利来"
"快乐的小兔子_8148","萌萌嗒很可爱，口味也很棒，位置也比较好找就在金源一层，"
"玲_7975","每次走到门口，都好香啊，忍不住就进去了，买了不少东东，甜品类的我的最爱"
"遨游的过程","一直很喜欢好利来的奶油蛋糕。一大早想吃奶油蛋糕???，正好门口有一家颠颠过去看着鲜果蛋糕很有食欲！ ..."
"pescetarian_pooh","好利来的奶油相当赞！而且都是当天的，绝对新鲜，蛋挞都是热乎的！"
"Teddypenguin","自从去日本引进了一批糕点后，好利来立马晋升成了网络红店呀~ 这家店是新开的，店面宽敞，打扫的干净整..."
"张飘誉","最爱好利来，奶油不油腻，蛋糕不是特别甜，掌握的比例非常好，口感不错！"
